,price
172,4716.1826
173,2095.2908
174,6255.524
175,1880.2706
176,4284.414
177,3585.2666
178,2604.0352
179,3399.0295
180,3490.6846
181,1596.129
182,909.56506
183,1598.2529
184,713.6967
185,4008.5312
186,864.09033
187,893.14197
188,538.455
189,1858.6932
190,2234.1392
191,706.96814
192,871.6339
193,6450.6055
194,4205.993
195,2425.4543
196,654.7079
197,13001.735
198,631.2383
199,8991.831
200,10453.362
201,6512.9805
202,688.8752
203,742.78925
204,6574.559
205,3404.995
206,616.8009
207,2945.729
208,958.4838
209,8174.2
210,2740.6216
211,6910.2104
212,11509.933
213,420.93512
214,1172.384
215,921.9904
216,2606.2485
217,2550.2131
218,760.165
219,1442.3132
220,2242.2559
221,2179.7441
222,9311.786
223,1075.7052
224,1264.4722
225,4357.6924
226,3749.9402
227,2110.8347
228,6067.7964
229,2013.4753
230,5275.366
231,1452.6317
232,1187.5122
233,1489.8972
234,895.32263
235,8386.441
236,1267.7192
237,992.89923
238,4485.877
239,8621.536
240,6122.2974
241,926.5537
242,15684.889
243,4655.9546
244,517.21063
245,1010.2563
246,2537.9153
247,7177.691
248,10685.4795
249,5510.5874
250,5297.408
251,1677.9471
252,2795.577
253,4998.141
254,5096.7476
255,1338.2073
256,660.40814
257,1878.6587
258,810.39667
259,14768.72
260,6281.2285
261,4785.7427
262,1796.5594
263,3898.1494
264,779.10315
265,2230.5732
266,7912.1187
267,1714.8577
268,986.2468
269,8798.374
270,7763.3315
271,765.92786
272,4395.081
273,4877.051
274,483.6647
275,897.16223
276,6163.9746
277,541.20935
278,6739.558
279,8124.673
280,1701.4474
281,2694.9204
282,3748.2478
283,8915.056
284,9035.295
285,10533.638
286,5130.5215
287,15907.651
288,1729.1465
289,7448.236
290,381.89957
291,8732.85
292,17883.635
293,922.0321
294,7362.2476
295,1838.4875
296,2226.459
297,693.657
298,184.74028
299,5573.7915
300,1431.1028
301,1117.6997
302,3650.978
303,5174.765
304,5741.124
305,7677.313
306,1090.6815
307,1028.8408
308,1719.4443
309,2115.0889
310,1795.655
311,402.00894
312,8050.282
313,5429.737
314,2577.8242
315,9925.44
316,654.3601
317,980.8451
318,920.4308
319,8094.443
320,5027.6133
321,396.49698
322,436.1728
323,509.61258
324,849.61957
325,5803.0444
326,1571.546
327,1839.7643
328,6898.422
329,641.91174
330,17130.621
331,2262.8145
332,863.0633
333,8582.1
334,3510.653
335,1856.828
336,13805.016
337,935.3839
338,852.6085
339,5835.202
340,675.1516
341,1594.6769
342,660.0457
343,4488.3643
344,4494.13
345,1808.7073
346,695.0139
347,2621.4487
348,4888.5884
349,810.0946
350,3270.61
351,467.09644
352,2316.6914
353,2025.0471
354,637.2885
355,1487.1024
356,733.6022
357,11970.176
358,1517.1969
359,419.13086
360,1011.25305
361,8210.239
362,559.44934
363,8450.101
364,3564.973
365,632.68054
366,714.07965
367,4454.7915
368,1580.4722
369,656.95026
370,648.59186
371,758.3324
372,5602.5938
373,902.8285
374,454.12192
375,932.98584
376,677.1156
377,4065.1506
378,2776.074
379,619.65094
380,4462.4937
381,521.3207
382,719.2346
383,10189.736
384,1145.2479
385,753.4478
386,16980.945
387,12136.757
388,837.16296
389,777.15564
390,2560.104
391,869.4368
392,8564.758
393,567.5955
394,1984.6992
395,4617.3545
396,831.02704
397,2175.6467
398,1063.3575
399,2329.8818
400,5159.3994
401,630.7327
402,2644.625
403,10172.047
404,1349.5769
405,1085.6132
406,539.5382
407,18624.898
408,2138.1907
409,5641.8
410,861.8538
411,749.78766
412,4159.8213
413,1407.6837
414,7094.916
415,836.89655
416,1397.0513
417,7748.2153
418,303.38522
419,4856.8994
420,13542.587
421,4788.197
422,4895.569
423,875.79126
424,1243.4375
425,471.5568
426,763.0801
427,14855.46
428,1725.8248
429,7371.671
430,4167.4375
431,15728.665
432,2046.0621
433,2911.7573
434,594.58887
435,3369.1895
436,2409.115
437,1151.3871
438,7084.2197
439,524.4817
440,3496.0964
441,1601.1952
442,868.7745
443,642.5584
444,891.7467
445,1091.6864
446,2272.2207
447,5592.4453
448,804.05334
449,2422.867
450,731.4664
451,1116.6814
452,6951.8916
453,6553.783
454,2844.7795
455,4500.05
456,1068.0339
457,12016.253
458,4121.2734
459,5126.831
460,12486.87
461,489.93054
462,807.6204
463,553.38116
464,912.8266
465,3987.1716
466,804.28564
467,4187.8013
468,4471.715
469,1215.4115
470,2517.839
471,2285.8506
472,2261.7737
473,6752.945
474,1232.5564
475,1159.75
476,15168.772
477,5304.215
478,2888.6765
479,11229.566
480,844.8997
481,5503.662
482,10545.655
483,15021.8955
484,1269.2548
485,4351.2637
486,10782.405
487,3058.1963
488,2467.294
489,1992.9861
490,644.48254
491,651.8165
492,4676.6113
493,9451.241
494,2387.0713
495,874.1619
496,2411.101
497,5119.2505
498,1793.3353
499,4270.8296
500,10185.029
501,653.33435
502,9388.954
503,1413.6628
504,480.4283
505,4663.694
506,556.6176
507,3869.7407
508,1855.5127
509,1186.0308
510,1443.0588
511,661.25806
512,1101.9375
513,3984.355
514,2960.1833
515,13618.382
516,4661.075
517,6889.5757
518,1112.4388
519,1971.3141
520,5850.764
521,2119.1726
522,736.9328
523,6104.1157
524,9593.186
525,1837.3531
526,1413.3184
527,2407.5952
528,4815.965
529,4821.986
530,2693.6558
531,2466.6458
532,2780.275
533,6774.753
534,2587.0293
535,15065.964
536,14467.0
537,4523.813
538,1984.5137
539,1947.3336
540,10363.502
541,10358.98
542,705.92267
543,14901.66
544,651.88824
545,7200.487
546,10174.889
547,1830.2579
548,867.11664
549,7894.7593
550,532.5495
551,1031.5929
552,6528.8
553,1707.7192
554,2566.6528
555,14251.157
556,5020.654
557,9898.904
558,1442.3728
559,3083.846
560,775.4482
561,2688.613
562,686.84045
563,4121.225
564,5486.783
565,2528.2913
566,2484.7437
567,2129.0637
568,5492.3945
569,1913.5928
570,1329.0077
571,4269.264
572,15617.045
573,14148.285
574,4956.9966
575,542.9327
576,4236.5576
577,1138.7828
578,608.8586
579,3395.8225
580,2212.5288
581,922.1961
582,906.2544
583,461.79364
584,7589.995
585,1656.5312
586,979.8168
587,963.8462
588,2738.0635
589,3423.3555
590,1768.5936
591,496.86258
592,916.0882
593,679.4792
594,8730.684
595,1272.5297
596,14601.512
597,902.2325
598,1170.9025
599,3278.8508
600,2384.3857
601,8626.618
602,2338.1162
603,10255.653
604,582.4114
605,1180.8005
606,907.7334
607,5480.125
608,2312.6306
609,669.6215
610,1831.3522
611,981.4059
612,3531.452
613,3183.4475
614,1007.05194
615,464.80893
616,726.2206
617,3140.1204
618,14085.277
619,11044.695
620,882.5389
621,643.5654
622,863.3996
623,2303.3704
624,4691.577
625,15578.574
626,1200.6451
627,782.98145
628,1870.9308
629,3557.7131
630,2529.2861
631,10564.887
632,1251.3169
633,1103.7034
634,3956.9868
635,7151.513
636,3581.778
637,1124.9974
638,13341.25
639,4573.8945
640,7014.6714
641,542.4236
642,845.819
643,4473.126
644,1023.4997
645,770.9506
646,1938.0518
647,1746.0701
648,4943.8877
649,1921.2262
650,3079.9153
651,15716.068
652,1557.76
653,1945.9259
654,948.60284
655,17095.637
656,2683.6162
657,1161.0723
658,801.62415
659,876.9847
660,2998.6243
661,1085.4885
662,4351.097
663,613.0403
664,403.11417
665,871.05176
666,5260.7173
667,3684.086
668,16906.404
669,14095.876
670,1963.5759
671,15379.521
672,1356.5813
673,4164.674
674,1062.7239
675,6358.0146
676,3778.2798
677,1661.712
678,868.8092
679,1136.295
680,659.593
681,8375.758
682,1873.997
683,1354.1431
684,4096.652
685,645.40027
686,1439.8826
687,2398.6965
688,630.9926
689,17074.799
690,3056.5662
691,780.75256
692,995.3861
693,7884.554
694,5493.5195
695,11798.05
696,695.35657
697,3162.7966
698,542.7207
699,1095.3558
700,993.1576
701,2930.0496
702,755.85095
703,2491.3286
704,4184.869
705,809.8267
706,403.82263
707,5358.4385
708,880.21124
709,660.1588
710,6718.4883
711,4650.721
712,728.548
713,843.1877
714,548.0095
715,713.8163
716,1264.5016
717,5663.642
718,15482.621
719,7367.4146
720,12063.643
721,4199.304
722,649.31647
723,2264.6555
724,2906.1123
725,5125.0225
726,1010.0407
727,672.4684
728,1491.9354
729,10086.025
730,13110.258
731,2012.7114
732,666.76764
733,4615.803
734,4875.7344
735,10400.627
736,6940.0977
737,1995.1411
738,680.7315
739,5035.257
740,2785.3303
741,6230.8535
742,4909.6943
743,675.3286
744,11172.838
745,15691.768
746,952.1943
747,1162.5503
748,1788.8887
749,696.33435
750,1136.1791
751,1949.9581
752,5098.2793
753,3744.5254
754,776.17914
755,2959.0513
756,9544.565
757,1911.8964
758,2402.6555
759,13865.836
760,8147.425
761,1491.7905
762,1346.1937
763,1894.2203
764,4306.706
765,2000.9508
766,5594.466
767,5056.3926
768,879.9853
769,663.2563
770,5114.497
771,572.4649
772,922.5129
773,516.46594
774,3974.0151
775,4294.5728
776,1044.7701
777,1078.3138
778,6939.491
779,5553.62
780,6597.7905
781,5564.7417
782,627.1479
783,4487.3984
784,757.9412
785,1907.071
786,705.3518
787,4328.055
788,1790.2021
789,599.6504
790,4210.8643
791,962.9383
792,4809.5986
793,551.80817
794,1361.0145
795,5117.188
796,3109.2651
797,6326.2993
798,14951.6045
799,622.4246
800,666.41724
801,1449.2578
802,750.4995
803,13408.327
804,850.60175
805,1613.7478
806,1993.857
807,1847.3829
808,633.2742
809,561.02893
810,674.6038
811,4252.191
812,643.3338
813,1886.2655
814,963.29803
815,6265.241
816,4880.509
817,5547.63
818,2004.5951
819,574.25
820,5212.8145
821,1601.8344
822,4195.559
823,3312.7744
824,666.87946
825,1400.2815
826,743.858
827,1663.2019
828,5184.911
829,3977.1267
830,2686.5378
831,4463.8384
832,516.21423
833,2323.8115
834,4926.4106
835,10915.294
836,432.64493
837,5438.4053
838,1597.5482
839,6906.039
840,1032.2017
841,2396.2505
842,633.9388
843,1989.7366
844,2707.393
845,9426.837
846,907.3808
847,1966.6299
848,14822.741
849,656.12317
850,1499.3417
851,8755.598
852,941.56696
853,412.3972
854,5298.376
855,2238.6863
856,1690.223
857,1773.9049
858,1220.9185
859,6575.9844
860,12353.397
861,1753.6575
862,2063.96
863,703.6434
864,829.36475
865,678.6437
866,2338.8333
867,695.3388
868,10642.631
869,2192.9133
870,2542.5447
871,1006.1975
872,14883.58
873,2197.258
874,801.31226
875,1285.4574
876,1201.3359
877,820.90137
878,1938.0518
879,9933.85
880,2382.349
881,4303.554
882,5584.6455
883,792.4766
884,3065.0535
885,5997.862
886,907.26917
887,448.44687
888,626.5895
889,1218.8588
890,6807.9995
891,681.33014
892,2684.9814
893,988.0104
894,4699.583
895,656.51666
896,3828.574
897,963.2795
898,537.5846
899,3329.8804
900,4654.055
901,839.2637
902,5074.292
903,589.25446
904,867.18787
905,1041.4274
906,2867.6274
907,2237.4749
908,4065.7507
909,9105.139
910,5822.5405
911,690.32874
912,10947.814
913,7602.0903
914,1614.3516
915,9337.893
916,10027.78
917,13943.2295
918,7636.972
919,699.0552
920,739.6848
921,3336.0867
922,4012.0647
923,539.59406
924,18139.186
925,3875.6074
926,6096.4766
927,853.9931
928,2958.1973
929,787.7232
930,3534.751
931,2764.48
932,759.6843
933,4123.5703
934,4164.1465
935,1035.4775
936,928.8781
937,784.0384
938,3881.2874
939,432.39838
940,6490.829
941,3753.9922
942,1684.4894
943,589.2776
944,572.4064
945,4321.2554
946,874.8085
947,871.56995
948,10677.481
949,9087.213
950,723.265
951,373.4995
952,2876.6123
953,604.56464
954,635.01166
955,6785.888
956,4604.8135
957,9159.411
958,2294.9988
959,966.2273
960,1784.3109
961,7413.094
962,762.12787
963,2402.992
964,1221.9117
965,9841.798
966,3134.7659
967,5359.709
968,6632.5996
969,5156.386
970,10843.386
971,2513.9067
972,14046.009
973,1026.663
974,4528.0703
975,980.16205
976,1665.306
977,5430.33
978,1729.1465
979,2142.915
980,8295.969
981,499.7319
982,1833.8822
983,749.53845
984,3311.273
985,16721.043
986,2429.3179
987,1294.5901
988,1465.4427
989,2360.3474
990,2290.6775
991,2299.7422
992,2076.2456
993,729.22705
994,4002.7795
995,1403.6805
996,596.78937
997,840.17737
998,757.3721
999,913.15393
1000,4988.5054
1001,9350.812
1002,1173.0336
1003,1671.149
1004,2688.1345
1005,673.5719
1006,1323.2437
1007,4311.358
1008,602.54034
1009,2659.4187
1010,6150.114
1011,959.4019
1012,449.4023
1013,6556.6123
1014,7240.3867
1015,673.4555
1016,7349.942
1017,831.7439
1018,4153.154
1019,4978.789
1020,9593.676
1021,2104.1992
1022,1305.87
1023,1196.368
1024,788.34546
1025,16136.415
1026,875.6725
1027,3556.5564
1028,829.23663
1029,1669.9688
1030,565.9224
1031,685.82074
1032,4679.419
1033,3968.0254
1034,525.986
1035,1603.3777
1036,701.5281
1037,6590.0747
1038,546.8937
1039,10965.622
1040,10133.228
1041,1039.9117
1042,10837.166
1043,4100.865
1044,14953.352
1045,557.5854
1046,6056.3076
1047,746.891
1048,663.2238
1049,1581.6234
1050,5933.3633
1051,3962.677
1052,3683.4028
1053,9665.239
1054,10566.584
1055,4990.918
1056,15803.308
1057,4597.678
1058,1724.193
1059,9905.074
1060,1710.6915
1061,1585.7323
1062,6050.4937
1063,5128.121
1064,1012.7181
1065,13480.022
1066,6896.6396
1067,716.4915
1068,698.18225
1069,11174.152
1070,770.6092
1071,7241.8086
1072,1330.8047
1073,1325.3782
1074,5150.937
1075,1288.085
1076,403.36487
1077,12432.706
1078,978.777
1079,1563.3314
1080,1739.1918
1081,4932.2373
1082,14029.291
1083,5927.179
1084,769.76495
1085,906.9763
1086,12873.513
1087,3976.392
1088,886.43134
1089,15983.579
1090,7412.582
1091,6577.2207
1092,3973.7917
1093,435.3532
1094,4630.263
1095,12529.721
1096,575.2177
1097,5062.1157
1098,526.33624
1099,2827.255
1100,846.99615
1101,481.34958
1102,910.23895
1103,13489.155
1104,1204.2998
1105,642.86414
1106,831.9824
1107,2187.0798
1108,1718.1958
1109,3191.9927
1110,1751.8086
1111,14641.405
1112,1974.333
1113,1985.0953
1114,10279.235
1115,475.9364
1116,2315.8848
1117,6323.0864
1118,2707.1462
1119,1825.3489
1120,4610.638
1121,3525.7573
1122,1175.1727
1123,1780.1569
1124,840.7378
1125,781.665
1126,5639.807
1127,1040.6901
1128,858.67474
1129,16911.316
1130,4566.4604
1131,4673.986
1132,8120.7427
1133,2618.1064
1134,558.811
1135,606.3827
1136,538.561
1137,829.9028
1138,661.9557
1139,1027.556
1140,748.3184
1141,849.12415
1142,1442.8333
1143,5018.165
1144,597.818
1145,3742.7754
1146,1878.1194
1147,5660.56
1148,9043.985
1149,15978.433
1150,793.88153
1151,5284.3853
1152,7190.066
1153,3770.9072
1154,782.51465
1155,8877.293
1156,2841.8247
1157,2435.8965
1158,691.17413
1159,5756.34
1160,8662.992
1161,5147.269
1162,949.0
1163,17286.031
1164,642.1528
1165,546.75616
1166,8190.752
1167,1249.0747
1168,492.48
1169,1679.5337
1170,861.9672
1171,6354.164
1172,821.716
1173,796.0997
1174,3427.3396
1175,1390.8169
1176,11825.111
1177,608.0484
1178,1046.7922
1179,3603.4507
1180,1157.6593
1181,4247.665
1182,3182.9683
1183,722.06854
1184,6686.1865
1185,878.6258
1186,664.0397
1187,761.41235
1188,704.9123
1189,2284.4417
1190,15401.026
1191,455.0802
1192,2018.0609
1193,7568.5596
1194,5157.3853
1195,2495.8022
1196,1159.9734
1197,15453.028
1198,1261.1927
1199,13813.597
1200,1025.408
1201,5533.6484
1202,2469.919
1203,5372.984
1204,964.9963
1205,5003.859
1206,12736.076
1207,7689.2617
1208,2645.657
1209,14990.414
1210,10942.246
1211,4750.2656
1212,775.2135
1213,733.73425
1214,7922.8906
1215,6526.1855
1216,2944.4143
1217,1566.5167
1218,1458.925
1219,6286.0073
1220,7653.004
1221,441.78763
1222,13400.733
1223,786.52185
1224,9016.214
1225,4345.1743
1226,590.7543
1227,3644.0046
1228,925.06976
1229,547.1278
1230,685.69543
1231,3724.1233
1232,795.7935
1233,2640.2183
1234,3374.1997
1235,3908.9521
1236,2669.212
1237,3229.4558
1238,9503.179
1239,9368.291
1240,1561.0504
1241,403.6956
1242,5450.6143
1243,649.83295
1244,6096.1045
1245,5783.5254
1246,2172.8633
1247,4154.1777
1248,3116.58
1249,564.21375
1250,7952.1606
1251,11151.545
1252,366.22882
1253,826.30646
1254,2119.4497
1255,8120.3223
1256,1629.9111
1257,888.56055
1258,9530.647
1259,674.5499
1260,5386.064
1261,811.40765
1262,1010.2335
1263,2878.2114
1264,1355.5399
1265,1635.1738
1266,1223.0487
1267,8325.929
1268,574.7082
1269,5720.837
1270,877.18616
1271,4201.8203
1272,1247.0236
1273,855.15936
1274,761.12726
1275,1041.9548
1276,3374.471
1277,3727.849
1278,846.9327
1279,1020.26385
1280,1662.2771
1281,1762.4022
1282,11939.529
1283,7788.978
1284,4438.3013
1285,2322.589
1286,2948.314
1287,7237.669
1288,3331.283
1289,815.80536
1290,2533.9253
1291,4362.517
1292,906.29095
1293,2189.928
1294,731.95087
1295,6508.799
1296,1188.9594
1297,1984.8596
1298,1516.4548
1299,4223.715
1300,7430.599
1301,468.69302
1302,6896.4854
1303,6292.452
1304,594.7858
1305,977.5017
1306,1741.0272
1307,1605.985
1308,1698.0269
1309,9401.897
1310,4199.107
1311,2644.1863
1312,2127.0168
1313,1695.6685
1314,713.90454
1315,3051.1033
1316,3455.8005
1317,597.21716
1318,876.7059
1319,1986.2052
1320,1319.7657
1321,7416.2627
1322,2701.8574
1323,15956.177
1324,876.0718
1325,650.4844
1326,965.7315
1327,3924.0366
1328,2947.9006
1329,4565.9243
1330,668.2329
1331,1400.876
1332,811.0105
1333,2786.895
1334,3660.4194
1335,4100.7036
1336,3907.9958
1337,735.7317
1338,3469.1836
1339,730.7504
1340,5641.434
1341,4615.4736
1342,14645.791
1343,826.18823
1344,2101.1846
1345,5382.5093
1346,2999.3904
1347,823.89514
1348,708.58777
1349,761.5166
1350,803.2686
1351,417.89038
1352,2603.5325
1353,1290.2007
1354,6679.0376
1355,15040.709
1356,885.7414
1357,1011.7828
1358,1309.2202
1359,620.02124
1360,4934.521
1361,1338.4629
1362,614.33405
1363,4789.9907
1364,15382.804
1365,4328.6206
1366,14520.08
1367,657.7102
1368,4109.068
1369,394.25085
1370,1165.6191
1371,1038.3381
1372,2203.125
1373,16279.544
1374,1045.4564
1375,3318.653
1376,9312.103
1377,625.3587
1378,13161.024
1379,2556.0955
1380,1052.1334
1381,3753.99
1382,809.0977
1383,6808.0747
1384,2290.6274
1385,855.38184
1386,973.7417
1387,4738.065
1388,13684.525
1389,7035.028
1390,6853.526
1391,3400.6987
1392,1722.0908
1393,889.0975
1394,10518.517
1395,4595.6973
1396,409.78137
1397,1847.6044
1398,619.3873
1399,2921.099
1400,13029.581
1401,15119.638
1402,7462.962
1403,6756.2363
1404,8201.358
1405,575.568
1406,999.48553
1407,5116.832
1408,644.455
1409,3425.3813
1410,2438.668
1411,620.7398
1412,958.9683
1413,687.6294
1414,6339.9824
1415,1901.914
1416,1553.1304
1417,3214.706
1418,1018.6436
1419,11074.029
1420,6821.3467
1421,1314.2434
1422,4746.157
1423,8956.774
1424,565.09717
1425,1173.4557
1426,6961.7695
1427,860.9518
1428,564.3092
1429,1521.1869
1430,4637.0933
1431,3974.4429
1432,5845.4683
1433,4296.507
1434,10994.6
1435,4076.1323
1436,5500.473
1437,3637.5623
1438,965.5569
1439,812.7298
1440,903.1823
1441,832.31274
1442,966.3339
1443,4793.0103
1444,4871.696
1445,957.4553
1446,3068.0635
1447,13922.216
1448,841.9109
1449,1557.9364
1450,760.13184
1451,14886.383
1452,4912.9307
1453,13630.015
1454,766.2351
1455,953.4882
1456,13252.299
1457,3143.6287
1458,4457.5815
1459,787.83685
1460,1576.7261
1461,2724.157
1462,846.9003
1463,1145.9874
1464,8867.61
1465,2473.972
1466,8735.68
1467,1108.8025
1468,2488.0989
1469,1679.6729
1470,3033.4014
1471,728.2344
1472,2763.5479
1473,3437.1829
1474,695.0139
1475,902.13513
1476,3889.2156
1477,4403.498
1478,653.75476
1479,2543.7258
1480,2574.0063
1481,2934.0942
1482,509.07773
1483,3495.1768
1484,4255.293
1485,1693.353
1486,11072.169
1487,973.814
1488,2185.5408
1489,1791.5526
1490,1083.0332
1491,1385.309
1492,2357.4338
1493,593.15265
1494,492.08585
1495,626.0803
1496,4572.7812
1497,5796.0024
1498,648.2318
1499,929.74603
1500,14613.124
1501,4575.2314
1502,13682.334
1503,5827.383
1504,480.62094
1505,5953.5103
1506,947.0194
1507,861.5487
1508,4868.4497
1509,2038.6499
1510,1905.3864
1511,5264.919
1512,4467.258
1513,3363.3452
1514,453.7759
1515,13650.782
1516,10286.906
1517,2343.3584
1518,1213.2966
1519,769.578
1520,5450.018
1521,1727.862
1522,7854.0723
1523,4812.309
1524,4532.331
1525,1104.0532
1526,5285.6445
1527,10031.798
1528,4777.0176
1529,645.4036
1530,827.9854
1531,1445.4788
1532,15669.642
1533,539.64514
1534,685.0794
1535,8103.2417
1536,4323.9385
1537,2116.5154
1538,1441.1687
1539,1344.255
1540,7354.3857
1541,2739.5293
1542,2153.4067
1543,876.0438
1544,11786.834
1545,843.2233
1546,7190.952
1547,572.7753
1548,2909.7305
1549,1193.7617
1550,4907.601
1551,3345.3896
1552,7858.504
1553,1169.4524
1554,4029.429
1555,2199.1729
1556,10210.501
1557,608.3967
1558,4201.0605
1559,2482.9417
1560,909.8485
1561,2382.349
1562,16191.224
1563,4189.9297
1564,4371.992
1565,1271.5112
1566,4625.845
1567,13207.594
1568,5057.4443
1569,4983.6094
1570,1239.1837
1571,2436.7239
1572,4285.029
1573,17816.834
1574,5347.737
1575,2408.112
1576,867.05316
1577,10648.944
1578,1739.1918
1579,13095.824
1580,893.56305
1581,716.3067
1582,4843.735
1583,3069.807
1584,1427.7566
1585,15772.211
1586,5651.5674
1587,2768.7922
1588,1956.754
1589,5305.6255
1590,617.16614
1591,849.15765
1592,5665.058
1593,11898.906
1594,2453.6343
1595,8219.668
1596,3548.7695
1597,3983.736
1598,1100.8362
1599,724.0798
1600,5627.033
1601,461.84335
1602,2194.745
1603,6221.1543
1604,1833.9661
1605,3864.9966
1606,597.3395
1607,6340.088
1608,919.88306
1609,8515.819
1610,952.9689
1611,498.49448
1612,11803.734
1613,2327.771
1614,679.4808
1615,927.0041
1616,1803.9092
1617,12897.796
1618,1999.7208
1619,6619.8926
1620,6282.936
1621,16734.453
1622,4970.589
1623,5141.8394
1624,2697.2405
1625,4019.1812
1626,5097.698
1627,6990.719
1628,792.5502
1629,9356.904
1630,1321.715
1631,7366.3496
1632,11965.151
1633,6592.6113
1634,763.6771
1635,1204.1125
1636,5473.376
1637,7036.777
1638,1806.1663
1639,1023.4655
1640,1191.2937
1641,1928.7026
1642,13904.501
1643,916.7534
1644,1595.6603
1645,821.18475
1646,2146.5618
1647,2975.6924
1648,850.11145
1649,2806.907
1650,16683.936
1651,374.3735
1652,5370.444
1653,678.66846
1654,4578.4263
1655,13666.927
1656,648.9733
1657,4384.313
1658,612.2614
1659,1871.7964
1660,15467.626
1661,7105.9404
1662,3711.289
1663,4085.1555
1664,10546.163
1665,13568.917
1666,9052.143
1667,3507.6406
1668,3666.885
1669,3796.5435
1670,902.0993
1671,670.6658
1672,889.31696
1673,1794.2625
1674,1846.7589
1675,725.19366
1676,6640.5127
1677,3984.1309
1678,421.77634
1679,11598.611
1680,1803.1879
1681,6475.373
1682,11251.96
1683,753.817
1684,3557.0483
1685,694.7799
1686,1240.2142
1687,1158.0999
1688,3222.4849
1689,12716.685
1690,784.5442
1691,10991.607
1692,2736.5837
1693,475.0108
1694,771.8146
1695,16104.813
1696,1939.7118
1697,2518.521
1698,576.9723
1699,1592.6155
1700,956.4882
1701,532.76105
1702,2422.5454
1703,10283.96
1704,733.4818
1705,960.9876
1706,7541.757
1707,13782.386
1708,6782.1494
1709,6933.7637
1710,735.426
1711,747.4085
1712,5614.0107
1713,1175.0189
1714,672.2722
1715,3559.5977
1716,1701.1339
1717,2637.9348
1718,4000.7441
1719,944.37683
1720,523.8144
1721,7399.3315
1722,4159.621
1723,5130.369
1724,7646.3164
1725,826.3834
1726,15931.426
1727,1111.7012
1728,4691.8643
1729,3488.7673
1730,2645.3489
1731,5932.8696
1732,5026.1465
1733,6746.675
1734,10936.321
1735,583.0389
1736,2608.239
1737,8565.398
1738,13655.955
1739,4866.644
1740,668.16406
1741,1787.9017
1742,661.5075
1743,1147.3845
1744,7915.986
1745,1029.0853
1746,1705.9788
1747,13980.373
1748,6847.41
1749,6232.5474
1750,1495.299
1751,1745.2894
1752,2801.2202
1753,6546.4272
1754,2818.0146
1755,3907.2605
1756,3707.8252
1757,695.8113
1758,3059.5046
1759,1957.3784
1760,6677.9746
1761,4627.7617
1762,433.19153
1763,852.74854
1764,804.2627
1765,2745.6187
1766,11528.687
1767,15419.893
1768,2337.3225
1769,645.782
1770,758.8197
1771,2649.9724
1772,9051.437
1773,5365.593
1774,8902.313
1775,1025.9805
1776,1006.8418
1777,695.20044
1778,11354.008
1779,1803.8915
1780,8813.614
1781,2883.5386
1782,4115.159
1783,586.0011
1784,6761.6875
1785,14266.707
